"respid","interviewstart","q1_purchases_last6months","q2_timesin12months","q3_visitstore12months","q4_visitweb12months","q3_1_purchoff12months","q4_1_purchonline12months","typeofcustomer","typeofvisits","segments","q5_clothes","q5_shoes","q5_bags","q5_personalcare","q5_others","q5_others_desc","q6_purchinstore_websearch","q7_purchonl_searchinstore","q8_purchinstore_searchmobile","q10_purchinstore_homedelivery","q11_purchonline_pickupstore","q12_1_instore_homedeliv_weight","q12_2_instore_homedeliv_brandedbags","q12_3_instore_homedeliv_differentsender","q12_4_instore_homedelive_neverhomedelivery","q12_5_instore_homedel_other","q12_6_instore_homedel_other_esp","q13_1_online_storedel_sendingfees","q13_2_online_storedel_return","q13_3_online_storedel_unknownaddress","q13_4_online_storedel_visitstore","q13_5_online_storedel_neverused","q13_6_online_storedel_other","q13_7_online_storedel_other_esp","q14_storelocationaccesibility","q15_webaccesibility","q16_instore_access_product_anywhere","q17_online_access_product_anywhere","q18_instore_shortdeliverytime","q19_online_shortdeliverytime","q20_instore_information_employees","q21_online_information_web_mails","q22_instore_infoaboutproducts","q23_online_infoaboutproducts","q24_instore_assortment","q25_online_assortment","q26_instore_productform_assurance","q27_online_productform_assurance","q28_instore_assort_lasting","q29_online_assort_lasting","q30_instore_deliverytime","q31_online_deliverytime","q32_online_info_deliverytime","q33_instore_return_policy","q34_online_return_policy","q35_instore_payment_methods","q36_online_payment_methods","q37_instore_kindness_employees","q38_instore_tidyness","q39_online_attractivedesign","q40_online_clarityportfolio","q41_online_peaceofmindinfo_privacysecurity","q42_instore_pleasant_socialinteraction","q43_online_pleasant_socialinteraction","q44_satisfaction_products_brand","q45_satisfaction_instore_brand","q46_satisfaction_web_brand","q47_instore_search_alternat","q48_online_search_alternat","q49_futureint_productsbrand","q50_futureint_instorepurch","q51_futureint_onlinepurch","q52_out10_instoreBrand_totalinstore","q53_out10_onlineBrand_totalinstore","q54_instore_recomend","q55_online_recomend","q56_newchannel_attitud","q57_instore_prices_to_otherbrands","q58_online_pricesto_otheronline","q59_online_sendingfees_toothers","q60_instore_impreducingtime","q61_online_impreducingtime","q62_out10_instoreBrand_totalinstore","q63_out10_onlineBrand_totalinstore","q64_Sex","q65_age","q_65_recoded_age","q66_marital_status","q67_peopleathome","q68_childrenunder14","q69_localzipnumber","q70_state","q71_town_pop","q72_educationlevel","q73_occupation","q74_monthlyincome","distance_km","distance_minutes"
"10006",2015-04-21 17:10:00,"YES","20-29%","YES","YES","None","Three or four times","Online shopper","visitboth","Online customer_omnichannel user","YES","NO","YES","NO","NO",NA,9,7,4,2,10,"YES","NO","NO","NO","NO",NA,"YES","NO","NO","NO","NO","NO",NA,9,9,7,7,5,7,8,8,6,8,4,8,6,7,5,10,5,7,9,9,9,10,9,7,7,7,7,8,9,4,7,7,7,9,9,9,8,9,3,4,5,8,"Soy cauteloso a la hora de probar nuevos canales",4,4,5,8,6,3,3,"Female",33,"De 25 a 40 años","Soltero/a",1,"Ninguno","28035","MADRID","Más de 1000000 habitantes","Doctorado","Trabaja por cuenta ajena","De 1.000 a 1.249,99 €",8.3,8
"101",2015-03-27 05:08:00,"YES","50-59%","YES","YES","More than five times","Twice or three times","In-store & online","visitboth","Omnichannel customer and user","YES","NO","YES","YES","NO",NA,9,9,9,9,9,"YES","YES","YES","NO","NO",NA,"YES","YES","NO","YES","NO","NO",NA,9,9,10,9,10,10,9,9,9,9,8,8,10,9,9,10,9,9,9,9,9,9,10,9,9,9,10,9,10,9,10,10,9,9,10,8,10,9,10,8,10,10,"Disfruto explorando canales alternativos",10,8,5,2,4,9,2,"Female",45,"De 41 a 60 años","Casado/a",4,"Dos","41100","SEVILLA","De 5000 a 19999 habitantes","Enseñanza secundaria (BUP/Bachillerato/FP)","Trabaja por cuenta propia","De 2.000 a 2.499,99 €",27.9,34
"1011",2015-04-09 10:25:00,"YES","60-69%","YES","YES","Three or four times","Twice or three times","In-store & online","visitboth","Omnichannel customer and user","YES","NO","YES","YES","NO",NA,8,8,6,0,10,NA,NA,NA,NA,NA,NA,"YES","NO","NO","YES","NO","NO",NA,10,10,10,10,10,10,7,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,3,4,10,8,8,7,3,9,9,"Me gusta comprar en el mismo canal",8,8,2,2,7,7,3,"Male",64,"Más de 60 años","Casado/a",2,"Ninguno","20018","GUIPÚZCOA","De 100000 a 499999 habitantes","Estudios universitarios","Trabaja por cuenta ajena","De 3.500 a 3.999,99 €",4.8,9
"1013",2015-04-09 10:27:00,"YES","70-79%","YES","YES","Three or four times","Three or four times","In-store & online","visitboth","Omnichannel customer and user","YES","YES","YES","NO","NO",NA,0,0,5,6,10,"NO","NO","NO","YES","NO",NA,"NO","NO","NO","YES","NO","NO",NA,7,10,7,10,6,10,6,10,9,9,7,9,8,8,6,7,7,7,8,9,9,9,10,9,6,10,8,8,5,5,10,8,10,7,7,10,9,10,10,10,9,10,"Disfruto explorando canales alternativos",7,7,7,7,7,8,8,"Female",29,"De 25 a 40 años","Soltero/a",1,"Ninguno","28033","MADRID","Más de 1000000 habitantes","Doctorado","Trabaja por cuenta ajena","De 1.250 a 1.499,99 €",11.8,10
"10178",2015-04-22 04:53:00,"YES","50-59%","YES","YES","None","More than five times","Online shopper","visitboth","Online customer_omnichannel user","YES","NO","NO","NO","NO",NA,7,6,6,6,6,"YES","NO","NO","NO","NO",NA,"YES","NO","NO","NO","NO","NO",NA,4,8,2,4,5,4,0,3,2,5,2,4,5,5,5,5,5,4,10,5,8,5,5,5,5,5,5,5,4,5,4,5,5,5,5,4,4,4,4,5,2,2,"Soy cauteloso a la hora de probar nuevos canales",8,8,5,10,10,4,5,"Female",24,"Menos de 25 años","Soltero/a",5,"Uno","15960","CORUÑA, LA","De 20000 a 99999 habitantes","Estudios universitarios","Parado","Menos de 500 €",71.9,54
"1020",2015-04-09 10:37:00,"YES","70-79%","YES","YES","More than five times","Twice or three times","In-store & online","visitboth","Omnichannel customer and user","YES","NO","NO","NO","NO",NA,8,6,8,6,7,"NO","NO","YES","NO","NO",NA,"NO","NO","NO","YES","NO","NO",NA,8,7,8,7,6,5,4,6,5,5,7,6,7,4,5,7,6,4,8,9,7,9,10,8,9,6,7,9,10,7,7,9,8,6,5,10,8,7,9,6,10,8,"Me gusta comprar en el mismo canal",6,6,7,10,10,7,6,"Female",24,"Menos de 25 años","Casado/a",2,"Ninguno","46713","VALENCIA","De 1000 a 4999 habitantes","Enseñanza secundaria (BUP/Bachillerato/FP)","Trabaja por cuenta propia","De 500 a 999,99 €",3.3,6
"1025",2015-04-09 10:48:00,"YES","70-79%","YES","YES","More than five times","More than five times","In-store & online","visitboth","Omnichannel customer and user","YES","NO","NO","NO","NO",NA,8,9,8,8,7,"NO","NO","NO","YES","NO",NA,"NO","YES","NO","NO","NO","NO",NA,8,8,9,7,8,7,8,8,7,8,7,8,9,8,8,7,6,8,7,8,7,6,8,7,8,8,8,7,8,9,7,8,9,8,9,8,9,9,8,7,9,8,"Disfruto explorando canales alternativos",8,7,9,6,8,8,8,"Female",33,"De 25 a 40 años","Casado/a",4,"Uno","41940","SEVILLA","De 20000 a 99999 habitantes","Estudios universitarios","Trabaja por cuenta ajena","De 3.000 a 3.499,99 €",2.5,7
"1029",2015-04-09 10:54:00,"YES","70-79%","YES","YES","More than five times","Once","In-store & online","visitboth","Omnichannel customer and user","YES","NO","NO","NO","NO",NA,6,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,10,10,10,10,4,10,10,10,10,10,10,10,10,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2,2,10,10,10,8,8,10,10,"Soy cauteloso a la hora de probar nuevos canales",0,0,1,0,0,8,8,"Female",61,"Más de 60 años","Divorciado/a, separado/a",1,"Ninguno","47012","VALLADOLID","De 100000 a 499999 habitantes","Enseñanza secundaria (BUP/Bachillerato/FP)","Trabaja por cuenta ajena","De 500 a 999,99 €",5.2,14
"103",2015-03-27 05:08:00,"YES","0-9%","YES","YES","Three or four times","None","In-store shopper","visitboth","In-store customer_omnichannel user","YES","YES","YES","NO","NO",NA,6,6,4,6,5,"NO","NO","NO","YES","NO",NA,"NO","YES","NO","YES","NO","NO",NA,6,6,7,4,6,6,7,7,7,7,6,5,7,6,7,6,7,6,6,6,7,7,6,7,7,6,7,7,6,6,6,6,7,7,7,7,8,6,8,7,6,7,"Disfruto explorando canales alternativos",8,7,6,6,6,8,6,"Male",32,"De 25 a 40 años","Casado/a",3,"Uno","29004","MÁLAGA","De 500000 a 1000000 habitantes","Estudios universitarios","Trabaja por cuenta ajena","De 1.250 a 1.499,99 €",6.3,11
"1032",2015-04-09 10:59:00,"YES","40-49%","YES","YES","Three or four times","Once","In-store & online","visitboth","Omnichannel customer and user","YES","YES","NO","YES","NO",NA,7,7,9,8,8,"YES","NO","NO","NO","NO",NA,"YES","YES","NO","NO","NO","NO",NA,10,10,10,10,9,5,5,8,8,10,9,9,10,8,10,10,8,9,9,9,9,8,9,2,9,9,8,10,9,9,10,10,10,8,7,7,7,9,5,4,8,9,"Disfruto explorando canales alternativos",10,10,5,9,10,6,4,"Female",20,"Menos de 25 años","Soltero/a",5,"Ninguno","49021","ZAMORA","De 100000 a 499999 habitantes","Estudios universitarios","Estudiante","De 1.000 a 1.249,99 €",2.1,9
"1038",2015-04-09 11:12:00,"YES","10-19%","YES","YES","Three or four times","Once","In-store & online","visitboth","Omnichannel customer and user","YES","YES","YES","NO","NO",NA,5,3,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,9,7,9,8,8,9,7,9,7,7,5,8,7,8,8,8,8,10,8,8,9,9,9,9,8,8,9,9,9,8,9,8,8,7,9,9,8,6,6,9,7,"Soy cauteloso a la hora de probar nuevos canales",3,3,4,2,2,6,6,"Female",54,"De 41 a 60 años","Vive en pareja (sin casarse)",3,"Ninguno","33120","ASTURIAS","De 1000 a 4999 habitantes","Estudios universitarios","Trabaja por cuenta ajena","De 1.250 a 1.499,99 €",24.5,26
"104",2015-03-27 05:08:00,"YES","20-29%","YES","YES","Twice or three times","Once","In-store & online","visitboth","Omnichannel customer and user","YES","NO","YES","NO","NO",NA,2,8,4,9,6,"YES","NO","NO","NO","NO",NA,"YES","NO","YES","NO","NO","NO",NA,9,9,7,7,7,5,9,6,10,8,7,7,10,7,10,10,10,8,10,8,6,10,9,10,10,9,9,8,9,8,8,6,6,5,0,10,10,7,5,8,9,7,"Me gusta probar nuevos canales por diversión",5,5,5,6,7,5,8,"Female",21,"Menos de 25 años","Soltero/a",3,"Uno","50012","ZARAGOZA","De 500000 a 1000000 habitantes","Estudios universitarios","Estudiante","Menos de 500 €",3.8,11
"1042",2015-04-09 11:29:00,"YES","40-49%","YES","YES","More than five times","Three or four times","In-store & online","visitboth","Omnichannel customer and user","YES","YES","YES","YES","NO",NA,7,8,6,8,7,"YES","NO","NO","NO","NO",NA,"YES","NO","NO","YES","NO","NO",NA,8,8,8,8,7,8,9,8,7,9,8,9,8,9,8,9,8,9,7,8,7,8,7,8,7,8,8,8,8,9,7,8,8,8,7,7,8,8,8,9,8,9,"Disfruto explorando canales alternativos",7,7,8,8,7,8,7,"Male",45,"De 41 a 60 años","Casado/a",5,"Tres","28023","MADRID","De 20000 a 99999 habitantes","Master","Trabaja por cuenta ajena","De 2.000 a 2.499,99 €",0.65,2
"1043",2015-04-09 11:29:00,"YES","50-59%","YES","YES","Three or four times","Once","In-store & online","visitboth","Omnichannel customer and user","YES","YES","NO","NO","NO",NA,4,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,10,8,9,10,9,8,7,9,8,9,8,9,8,7,7,9,8,8,9,7,10,10,9,9,9,9,8,7,7,9,9,8,8,8,9,9,8,6,7,9,8,"Disfruto explorando canales alternativos",7,6,7,6,4,6,5,"Female",46,"De 41 a 60 años","Casado/a",4,"Ninguno","8630","BARCELONA","De 5000 a 19999 habitantes","Enseñanza secundaria (BUP/Bachillerato/FP)","Parado","De 1.500 a 1.999,99 €",18.1,26
"1057",2015-04-09 12:12:00,"YES","60-69%","YES","YES","More than five times","Twice or three times","In-store & online","visitboth","Omnichannel customer and user","YES","NO","NO","NO","NO",NA,7,8,10,0,8,NA,NA,NA,NA,NA,NA,"YES","YES","NO","NO","NO","NO",NA,8,10,5,10,8,8,9,8,10,8,7,9,6,8,8,10,8,7,10,9,9,10,10,5,6,10,9,8,8,3,7,7,8,10,10,10,9,9,7,6,5,8,"Me gusta comprar en el mismo canal",7,7,3,5,5,6,6,"Male",40,"De 25 a 40 años","Casado/a",2,"Ninguno","41006","SEVILLA","De 500000 a 1000000 habitantes","Enseñanza primaria (EGB/ESO)","Jubilado","De 1.000 a 1.249,99 €",2.6,9
"106",2015-03-27 05:09:00,"YES","40-49%","YES","YES","Twice or three times","Once","In-store & online","visitboth","Omnichannel customer and user","YES","YES","NO","NO","NO",NA,10,10,10,5,10,"NO","NO","NO","YES","NO",NA,"YES","NO","NO","NO","NO","NO",NA,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,5,2,10,10,"Me gusta comprar en el mismo canal",5,5,5,5,5,2,5,"Male",54,"De 41 a 60 años","Vive en pareja (sin casarse)",2,"Ninguno","28100","MADRID","De 20000 a 99999 habitantes","Enseñanza primaria (EGB/ESO)","Parado","De 1.000 a 1.249,99 €",6.1,14
